Manufacturer,Team,No.,Driver,Crew chief
Chevrolet 5 Toyota 12 Ford 3,Fast Track Racing,10,Jon Garrett 2,Mike Sroufe 3 Wayne Peterson 1 Steven Barton 4 Richard Burgess 1 Dick Doheny 3 Tony Cosentino 2  Dallas Frueh 1 Tim Monroe 5
Chevrolet 5 Toyota 12 Ford 3,Fast Track Racing,10,Chris Martin Jr. 1,Mike Sroufe 3 Wayne Peterson 1 Steven Barton 4 Richard Burgess 1 Dick Doheny 3 Tony Cosentino 2  Dallas Frueh 1 Tim Monroe 5
Chevrolet 5 Toyota 12 Ford 3,Fast Track Racing,10,Tim Monroe 5,Mike Sroufe 3 Wayne Peterson 1 Steven Barton 4 Richard Burgess 1 Dick Doheny 3 Tony Cosentino 2  Dallas Frueh 1 Tim Monroe 5
Chevrolet 5 Toyota 12 Ford 3,Fast Track Racing,10,Joe Cooksey 1,Mike Sroufe 3 Wayne Peterson 1 Steven Barton 4 Richard Burgess 1 Dick Doheny 3 Tony Cosentino 2  Dallas Frueh 1 Tim Monroe 5
Chevrolet 5 Toyota 12 Ford 3,Fast Track Racing,10,Bryce Haugeberg 1,Mike Sroufe 3 Wayne Peterson 1 Steven Barton 4 Richard Burgess 1 Dick Doheny 3 Tony Cosentino 2  Dallas Frueh 1 Tim Monroe 5
Chevrolet 5 Toyota 12 Ford 3,Fast Track Racing,10,Tony Cosentino 1,Mike Sroufe 3 Wayne Peterson 1 Steven Barton 4 Richard Burgess 1 Dick Doheny 3 Tony Cosentino 2  Dallas Frueh 1 Tim Monroe 5
Toyota 9 Chevrolet 5 Ford 6,Fast Track Racing,11,Chuck Hiers 1,David Ifft 1 Mike Sroufe 9 Tony Cosentino 1 Steven Barton 3 Dick Doheny 3  Jeff Spraker 1  Andy Hillenburg 2
Toyota 9 Chevrolet 5 Ford 6,Fast Track Racing,11,Bryce Haugeberg 7,David Ifft 1 Mike Sroufe 9 Tony Cosentino 1 Steven Barton 3 Dick Doheny 3  Jeff Spraker 1  Andy Hillenburg 2
Toyota 9 Chevrolet 5 Ford 6,Fast Track Racing,11,Jon Garrett 1,David Ifft 1 Mike Sroufe 9 Tony Cosentino 1 Steven Barton 3 Dick Doheny 3  Jeff Spraker 1  Andy Hillenburg 2
Toyota 9 Chevrolet 5 Ford 6,Fast Track Racing,11,Tony Cosentino 1,David Ifft 1 Mike Sroufe 9 Tony Cosentino 1 Steven Barton 3 Dick Doheny 3  Jeff Spraker 1  Andy Hillenburg 2
Toyota 9 Chevrolet 5 Ford 6,Fast Track Racing,11,Ed Pompa 2,David Ifft 1 Mike Sroufe 9 Tony Cosentino 1 Steven Barton 3 Dick Doheny 3  Jeff Spraker 1  Andy Hillenburg 2
Toyota 9 Chevrolet 5 Ford 6,Fast Track Racing,11,Stanton Barrett 2,David Ifft 1 Mike Sroufe 9 Tony Cosentino 1 Steven Barton 3 Dick Doheny 3  Jeff Spraker 1  Andy Hillenburg 2
Toyota 9 Chevrolet 5 Ford 6,Fast Track Racing,11,Morgen Baird 1,David Ifft 1 Mike Sroufe 9 Tony Cosentino 1 Steven Barton 3 Dick Doheny 3  Jeff Spraker 1  Andy Hillenburg 2
Toyota 9 Chevrolet 5 Ford 6,Fast Track Racing,11,Ken Schrader 2,David Ifft 1 Mike Sroufe 9 Tony Cosentino 1 Steven Barton 3 Dick Doheny 3  Jeff Spraker 1  Andy Hillenburg 2
Toyota 9 Chevrolet 5 Ford 6,Fast Track Racing,11,Ryan Huff 1,David Ifft 1 Mike Sroufe 9 Tony Cosentino 1 Steven Barton 3 Dick Doheny 3  Jeff Spraker 1  Andy Hillenburg 2
Toyota 9 Chevrolet 5 Ford 6,Fast Track Racing,11,Zachary Tinkle 1,David Ifft 1 Mike Sroufe 9 Tony Cosentino 1 Steven Barton 3 Dick Doheny 3  Jeff Spraker 1  Andy Hillenburg 2
Toyota 9 Chevrolet 5 Ford 6,Fast Track Racing,11,Brandon Varney 1,David Ifft 1 Mike Sroufe 9 Tony Cosentino 1 Steven Barton 3 Dick Doheny 3  Jeff Spraker 1  Andy Hillenburg 2
Chevrolet 11 Toyota 5 Ford 4,Fast Track Racing,12,D. L. Wilson 9,Dick Doheny 9 Unknown 1 Tim Monroe 3 Robert Bruce 1 Mike Sroufe 3  Steven Barton 1 Dallas Frueh 2
Chevrolet 11 Toyota 5 Ford 4,Fast Track Racing,12,Tommy Vigh Jr. 1,Dick Doheny 9 Unknown 1 Tim Monroe 3 Robert Bruce 1 Mike Sroufe 3  Steven Barton 1 Dallas Frueh 2
Chevrolet 11 Toyota 5 Ford 4,Fast Track Racing,12,Tim Monroe 3,Dick Doheny 9 Unknown 1 Tim Monroe 3 Robert Bruce 1 Mike Sroufe 3  Steven Barton 1 Dallas Frueh 2
Chevrolet 11 Toyota 5 Ford 4,Fast Track Racing,12,Willie Mullins 1,Dick Doheny 9 Unknown 1 Tim Monroe 3 Robert Bruce 1 Mike Sroufe 3  Steven Barton 1 Dallas Frueh 2
Chevrolet 11 Toyota 5 Ford 4,Fast Track Racing,12,Tony Cosentino 1,Dick Doheny 9 Unknown 1 Tim Monroe 3 Robert Bruce 1 Mike Sroufe 3  Steven Barton 1 Dallas Frueh 2
Chevrolet 11 Toyota 5 Ford 4,Fast Track Racing,12,Ed Pompa 1,Dick Doheny 9 Unknown 1 Tim Monroe 3 Robert Bruce 1 Mike Sroufe 3  Steven Barton 1 Dallas Frueh 2
Chevrolet 11 Toyota 5 Ford 4,Fast Track Racing,12,Bryce Haugeberg 1,Dick Doheny 9 Unknown 1 Tim Monroe 3 Robert Bruce 1 Mike Sroufe 3  Steven Barton 1 Dallas Frueh 2
Chevrolet 11 Toyota 5 Ford 4,Fast Track Racing,12,Zachary Tinkle 3,Dick Doheny 9 Unknown 1 Tim Monroe 3 Robert Bruce 1 Mike Sroufe 3  Steven Barton 1 Dallas Frueh 2
Chevrolet 2 Ford 18,Greg Van Alst Motorsports,35,Greg Van Alst,Jim Long
Ford 18 Chevrolet 2,Mullins Racing 2 Clubb Racing Inc. 18,3,Brayton Laster 2,Ryan Polenz 1 Brian Clubb 12 Robert Bruce 1 Chris Nichols 1 Alex Clubb 3 Ashley Clubb 2
Ford 18 Chevrolet 2,Mullins Racing 2 Clubb Racing Inc. 18,3,Alex Clubb 14,Ryan Polenz 1 Brian Clubb 12 Robert Bruce 1 Chris Nichols 1 Alex Clubb 3 Ashley Clubb 2
Ford 18 Chevrolet 2,Mullins Racing 2 Clubb Racing Inc. 18,3,Josh White 1,Ryan Polenz 1 Brian Clubb 12 Robert Bruce 1 Chris Nichols 1 Alex Clubb 3 Ashley Clubb 2
Ford 18 Chevrolet 2,Mullins Racing 2 Clubb Racing Inc. 18,3,Rita Thomason 2,Ryan Polenz 1 Brian Clubb 12 Robert Bruce 1 Chris Nichols 1 Alex Clubb 3 Ashley Clubb 2
Ford 18 Chevrolet 2,Mullins Racing 2 Clubb Racing Inc. 18,3,Casey Carden 1,Ryan Polenz 1 Brian Clubb 12 Robert Bruce 1 Chris Nichols 1 Alex Clubb 3 Ashley Clubb 2
Ford 18 Toyota 2,Rette Jones Racing,30,Amber Balcaen,Mark Rette
