Race Driver,Car Owner / Entrant,Chassis,Engine,Rounds
Matt Westfall,Ray Marshall Motorsports,Maxim,Hampshire Chevrolet,13
Brent Beauchamp,Jeff Olson,Spike,Conn Chevrolet,3
Cody Ledger,Tracy Ledger,Eagle,Ostrich Chevrolet,1
Collin Ambrose,Ambrose,,,1
Dave Darland,Goodnight Racing / Curb-Agajanian,Maxim,Claxton Chevrolet,23
Chet Williams,Troy Fortune Motorsports,DRC,Cummins Chevrolet,2
Mike Dapra,Mike Dapra Racing,Twister,Wesmar Chevrolet,1
Matt Goodnight,Goodnight Racing,Maxim,Claxton Chevrolet,3
Jerry Coons Jr.,Tim Houge,Maxim,Ott Chevrolet,4
Jim Shelton,Shelton,,,1
Joe Stornetta Jr.,Pace Motorsports,DRC,J&D Chevrolet,5
Michael Fischesser,Michael Fischesser,DRC,D&D Chevrolet,1
Eric Perrott,Perrott,,,1
Shane Cockrum,Tony Lawrence,DRC,Gaerte Chevrolet,1
Tony DiMattia,Tony DiMattia Motorsports,DRC,Ott Chevrolet,14
Issac Chapple,LNR-Chapple Racing,DRC,Claxton Chevrolet,23
Clinton Boyles,Paul Hazen,DRC,Kercher Chevrolet,5
T.J. Artz,Artz & Sons,DRC,Claxton Chevrolet,1
Kevin Studley,Kevin Studley,Maxim,J&D Chevrolet,1
Johnny Petrozelle,Petrozelle Autosport,GF1,Chevrolet,7
Stephen Schnapf,Randy Edwards,Maxim,SPEC Chevrolet,2
Brady Bacon,Dooling/Hayward Motorsports with RCR,Spike,Stanton Mopar,3
Kevin Thomas Jr.,"Dynamics, Inc.",DRC,Speedway Chevrolet,23
Jordan Kinser,Hurst Brothers Racing,DRC,Hurst Chevrolet,4
Robert Bell,Robert Bell,Eagle,Ostrich Chevrolet,19
Shane Cottle,Daigh-Phillips Motorsports,DRC,Foxco Chevrolet,4
Shane Cockrum,Daigh-Phillips Motorsports,DRC,Foxco Chevrolet,1
J.R. Berry,J.R. Berry,Triple X,Berry Chevrolet,1
Josh Hodges,Hodges Motorsports,DRC,Gibson Chevrolet,7
Glen Saville,Glen Saville,Triple X,GPS Chevrolet,2
Katlynn Leer,Joe Leer,Maxim,Felker Chevrolet,1
Rob Caho Jr.,Rob Caho Jr.,Maxim,Claxton Chevrolet,1
Ryan Susice,Dick Mahoney,DRC,Speedy Auto Machine Chevrolet,1
Paul Dues,Dues Racing,Maxim,Krieger Chevrolet,2
Shawn Westerfeld,Bill Westerfeld,DRC,Foxco Chevrolet,1
Braydan Willmington,Team RayPro,DRC,RayPro Chevrolet,1
Brody Roa,BR Performance,Maxim,Shaver Chevrolet,7
Jake Swanson,Jim & Laurie Sertich,Triple X,Kistler Chevrolet,5
Riley VanHise,VanHise Racing,Triple X,Williams Chevrolet,2
Tyler Hewitt,One More Time Motorsports,Maxim,McGunegill Chevrolet,1
Chad Boespflug,NineEight Motorsports,Maxim,Claxton Chevrolet,21
Brandon Morin,Steve Morin,DRC,Claxton Chevrolet,1
Brady Bacon,Brady Bacon Racing,Triple X,Rider Chevrolet,20
Eric Burns,Bill Gasway,Stealth,M & R Chevrolet,2
Joey Biasi,Shaup Brothers Racing,Maxim,Burns & Yost,6
