LGA,Ward,Polling Unit Name
Damaturu,Nayinawa,"Bulama Modu, Modu's Gate; B. S Kofar Bulama Shetimari; Bulama Talba,Bulama Talba Gate; Ibrahim Abacha Housing Estate, Housing Est. Pri. Sch.; Nayinawa Bore Hole Open Space; Nayi Nawa Pri. Sch, Nayi Nawa Pri. Sch.; Nayinawa Tsallake Open Space; Tsamiyan Lilo,Tsamiyan Lilo; Tukuban Akawu Open Space; Veterinary Clinic, Veterinary"
Damaturu,Njiwaji/Gwange,"Bulama Kurma, Kurma's Gate; Bulama Kurma, Kulloma's Gate; Fire Service Office; Maternity Clinic,Clinic; Modu Fadkema,Modu Fadkema's Gate; Njiwaji Pri. Sch, Pri. Sch I; Njiwaji Pri. Sch, Pri. Sch II; Injiwaji Layout,K/Massalaci R.; Pompomari Bore Hole O. S"
Damaturu,Sasawa/Kabaru,"Fulo Ngomari; Goni Mastafari,Goni Mustafa's Gate; Kabaru. Kabaru, Pri. Sch.; Musamiri B. Fandi,Fand's Gate; Sasawa, Pri. Sch.; Sungul Buduwa Open Space; Tungusa Goni Usman,Goni Usman's Gate; Tungusa Open Space; Yettimari Open Space; Zaramiri B. Abacha,Abacha's Gate; Ari Ashemiri Open Space; Dabukururi Open Space"
Fika,Daya/Chana,"Chana, Pri. Sch.; Daya, Pri. Sch. I; Daya, Pri. Sch. II; Male, Pri. Sch.; Siminti, Pri. Sch.; Kukar Gadu, Pri. Sch. I; Kukar Gadu, Pri. Sch. II; Kukawa, Pri. Sch.; Yelwa, Pri. Sch."
Fika,Fika/Anze,"Anze, Pri. Sch. I; Anze, Pri. Sch. II; Bogaru,Work Dept.; Bogwuna Tinja, Magistrate Court; Bogwuna Tinja, Pri. Sch.; Bogwuna Tinja, Nig. Prison Service; Mebi S. Yara Bakin Rijiya O. S; Sirife, Viewing Centre; Sirife Gindin Rumfa Open Space"
Fika,Gadaka/Shembire,"Boza Ganga, Kofar Maigari; Bulabulin, Pri. Sch.; Dala, Kofar Mai Gari; Garin Gamji, Pri. Sch.; Garin Goge, Pri. Sch. I; Garin Goge, Pri. Sch. II; Jangam, Kofar Maiunguwa; Hausari, Kofar Maiunguwa; Maiduwa, Pri. Sch.; Madaki, Old Bore Hole; Sabon Layi, Kofar Maiungwa; Unguwar Adamu D. Open Space; Unguwar Bulus, C. P Sch. I; Unguwar Bulus C, P Sch. II; Unguwar Dala K, Kofar Maiunguwa; Unguwar Mamman Disa, Bore Hole; Unguwar Katala K/Maiung.; Unguwar Yaro Guze, K / Mai Ung. I; Unguwar Yaro Guze, K / Mai Ung. II; Zamba,Pri. Sch. I; Zamba, Pri. Sch. II; Tinja Bazam, Pri. Sch."
Fika,Gudi / Dozi / Godo Woli,"Dade Yasua, Kofar Maiunguwa; Doffo Ofara, Pri. Sch.; Gamari, Pri. Sch.; Gamari, Dispensary; Garin Alaramma, Kofar Maiunguwa; Godowolli, Pri. Sch.; Nahuta, Pri. Sch.; Lewe, Pri. Sch.; Zadawa, Pri. Sch."
Fika,Janga / Boza / Fa. Sawa / T. Nanai,"Burni, Pri. Sch.; Damazai, Pri. Sch. I; Damazai, Pri. Sch. II; Dogo Abare, Pri. Sch.; Gashaka, Pri. Sch.; Janga Dole, Pri. Sch.; Janga Siri Pri School; Koromchi, Pri. Sch.; Madodo Madaki, Kofar Maiunguwa; Zamani, Pri. Sch."
Fika,Mubi / Fusami / Garin Wayo,"Banale, Pri. Sch.; Gadana, Pri. Sch.; Garin Eji, Pri. Sch.; Garin Wayo, Pri. Sch.; Mubi Fusami,Pri. Sch I; Mubi Fusami, Pri. Sch II"
Fika,Ngalda/Dumbulwa,"Dumbulwa ,Pri. Sch.; Gagaru, Pri. Sch. I; Gagaru ,Pri. Sch. II; Garin Chindo, Pri. Sch.; Kerem Bello,Pri. Sch.; Ngalda, Ri. Sch.; Sabon Layi, Dispensary; Tadan Gara, Pri. Sch.; Tundun Wada, Dispensary I; Tundun Wada, Dispensary II"
Fika,Shoye/Garin Aba,"Balde, Balde Pri. Sch.; Garin Abba, Pri. Sch. I; Garin Abba, Pri. Sch. II; Garin Dauya, Pri. Sch.; Gashinge Pri. Sch.; Lampo, Kofar Mai Unguwa"
Fika,Turmi / Maluri,"Dan Burni, Dispensary; Gurjaje, Pri. Sch; Manawachi, Pri. Sch.; Turmi, Pri. Sch.; Unguwa Tambari, Pri. Sch"
Fika,Zangaya/Mazawaun,Zangaya Pri. School; Mazawun Pri School; Dogon Kuka Pri School; Duffuwel Pri. School; Duffunel Adowa Open Space; Dogon Kuka Gari Open Space
Fune,Abakire / Ngenlshengele / Shamka,"Abakire, Pri. Sch.; Bare Kuri Kofar Bulama; Belon Kofar Bulama; Garin Baushe, Pri. Sch.; Jauro Gako Kofar Bulama; Lamido Gombe K/Bulama; Ngelmodoru, Pri. Sch.; Ngelshe Ngele, Pri. Sch.; Shamka Kofar Bulama; Shilowa Kofar Bulama; Suddande, Pri. Sch.; Walkere, Pri. Sch.; Yaskawal Kofar Bulama"
Fune,Borno Kiji/Ngarho/Bebbende,"Adore Kofar Bulama; Bebbende, Pri. Sch.; Bindigi, Pri. Sch.; Borno, Kiji Pri. Sch.; Bummitammi Kofar Bulama; Jauro H. Waje K/Bulama; Lamido Juli Kofar Bulama; Ngel Kol Kofar Bulama; Palidachi Kofar Bulama"
Fune,Damagum Town,"Anguwar Kuka, Kofar M. Hudu I; Anguwar Kuka, Kofar M. Hudu II; Anguwar Dutsi, Market Stall Store; Bakati S. Gari ,Co-Operative Store I; Bakati S. Gari, Co-Operative Store II; Bakin Kasuwa, Kofar S. Aska I; Bakin Kasuwa, Kofar S. Aska II; Damagum, Central Pri. Sch. I; Damagum, Central Pri. Sch. II; Sabon Gari, Noa's Office"
Fune,Daura/Bulanyiwa/Dubbul/Bauwa,"Alangefe Kofar Bulama; Bauwa 'I' Kofar Bulama; Bauwa 'II' Kofar Bulama; Bulanyiwa, Pri. Sch. I; Bulanyiwa, Pri. Sch. II; Daura, Pri. Sch.; Daura, Bank Of The North; Dubbol, Pri. Sch. I; Dubbol, Pri. Sch. II; Suru Kofar Bulama"
Fune,Dogon Kuka/Gishiwari/Gununu,"Dogon Kuka, Market Stall I; Dogon Kuka Kofar Bulama; Dogon Kuka Pri School; Dumza, Bakin Rijiya; Gadafowa Kofar Bulama; Galtai Kofar Bulama; Gishiwari, Pri. Sch.; Gubana, Pri. Sch.; Gununu, Pri. Sch.; Ningi, Pri. Sch.; Ngam Dare Kofar Bulama; Sabon Garin Idi Barde, Pri. Sch.; Walkatu Kofar Bulama"
Fune,Fune/Ngelzarma/Milbiyar/Lawan Kalam,"Anuguwar Kuka, Dispensary; Anguwan Kuka Kofar Bulama; Anguwan Kuka Pri School; Bulama Mustapha Dispensary I; Bulama Mustapha Dispensary II; Fune Primary School; Kujiyel Bakin Rijiya; Lawan Kalam K/Bulama; Lawan Kalam, Bulama Gate; Lili, Pri. Sch. I; Lili, Pri. Sch. II; Lili Kofar Sarki; Mallam Ya'U Kofar Bulama; Mil Biyar, Pri. Sch.; Mil-Biyar S. Garin Bukar; Sheriri Kofar Bulama"
Fune,Gaba Tasha/Aigada/Dumbulwa,"Aigada Mai Kasuwa, Pri. Sch.; Aigada Mai Gishiwa K/Bulama; Dumbulwa, Pri. Sch.; Gaba Tasha, Pri. Sch.; Ibrahim Gaba, G. S. S; Joringel Zoto, Zoto Pri. Sch.; Joringel Zoto Kofar Bulama; Nyakiren Tsanya Kofar Bulama; Saleran Gindin Tsamiya K/Mai Ung"
Fune,Gudugurka/Marmar I,"Rigim Kofar Bulama; Dufuna, Pri. Sch.; Dufuna ,Health. Centre; G. Wakili. Bakin Rijiya; Gremari. Bakin Rijiya; Gudugurka, Pri. Sch.; Gurungu Bakin. Rijiya; Marimari. Pri. Sch."
Fune,Jajere/Banellewa/Babbare,"Anguwar Ngoridi, Dispensary; Babbare J. Buba, Pri. Sch.; Banalawa, Pri. Sch.; Bangitare Kofar Bulama; Dawaya, Pri. Sch.; Doikwal Kofar Bulama; Dugel Kofar Bulama; Gayeje Kofar Bulama; Katotiyel Kofar Bulama; Kurfawa Ayuba Kofar Bulama; Lawanti, Pri. Sch; Nkoljalaje Kofar Bulama; Shidol Kofar Bulama; Shobbunga, Bulama Gate; Tsagayar Tudu, Veterinary Clinic"
Fune,Kayeri,"Ang Modu Health Centre; Amar Chiya, Pri. Sch.; Daya, Pri. Sch.; Dogon Kuka B Pri. Sch.; Jauro Kuliya Kofar Bulama; Kayeri, Pri. Sch.; Kasara Kuma, Pri. Sch.; Shami Katuwa, Pri. Sch.; Taiyu, Pri. Sch; Jauro Kuka Kofar Bulama; Watiwani Kofar Bulama; Tello Bangaje Pri School"
Fune,Kollere/Kafaje,"Aigada B. Bazam Kofar Bulama; Aigada J. Abdul Kofar Bulama; Balarabe ,Pri. Sch.; D/G/Gkila, Pri. Sch.; Dumowal Kofar Bulama; Garin Kyari, Pri. Sch.; Garin Tuje, Pri. Sch.; Gadama Mallam K/Bulama; Kolere, Pri. Sch.; Kolere, Clinic; Kafaje, Pri. Sch.; Nosa Kofar Bulama"
Fune,Mashio,"Bagana Kofar Bulama; Baya Banza Kofar Bulama; Bamshanga, Pri. Sch.; Bulama Madore K/Bulama 'I'; Bulama Madore K/Bulama 'II'; Bulakawa Kofar Bulama; Dodiwa Kofar Bulama; Dusuwa Kofar Bulama; Gaskira L. Shehu K/Bulama; Dumbulwa, Pri. Sch.; Jauro Bodori K/Bulama; Jauro Birau Kofar Bulama; Jangam Garu Kofar Bulama; Kashanga Kofar Bulama; Kazalma Kofar Bulama; Kare Mai Gagare Kofar Bulama; Koriyel Kofar Bulama; Koibula, Pri. Sch.; Kwarawan Pri School; Ngelkoreji Kofar Bulama; Murba M. Ali, Pri. Sch.; Ngelkoreji, Bakin Rijiya; Ngelwande Kofra Bulama; Sutande Kofar Bulama; Sauda Kofar Bulama"
Geidam,Asheikri,"Alhaji Maigari ,Viewing Centre; Fannamiri. Ngadala, Pri. Sch.; Fannamiri, Fannamiri Gate; Fulatari, Bulama Gate; Goniri, Pri. Sch.; Lawan Bakurari, Water Board; Mustapha Wanzan; Sunomari, Sunomari; Usman Kolorima, Maiunguwa's Gate"
Geidam,Balle/Gallaba/Meleri,"Balle Lawanti, Lawant's Gate; Balle, Pri. Sch.; Gallaba, Pri. Sch.; Kelluri Bulama, Bulama's Gate; Kelluri, Pri. Sch.; Lawan Bukarti, Bulama's Gate; Matakuskum, Bulama's Gate; Moborti, Bulama Gate; Shame Mairi, Bulama's Gate"
Geidam,Damakarwa/Kusur,"Aji Wango, Bulama's Gate; Ali Karimiri, Bulama's Gate; Ali Kari Miri Tsangaya B/Gate; Damakarwa Lawanti, Viewing Centre; Gobok, Bulama's Gate; Kindiram, Bulama's Gate; Kusur Lawanti. Kusur, Pri. Sch; Ngoro, Kayaiya Bulama Gate; Zairam Ngolkoyam, Bulama's Gate; Zugubi, Bulama's Gate."
Geidam,Dejina/Fukurti,"Ali Gajiribulama's Gate; Bone Garal, Bulama Gate; Fukurti Kasuwa, Bulama's Gate; Fukurti Lawan, Lawan's Gate; Karau Kura, Bulama's Gate; Mainari, Bulama's Gate; Mallam Matari, Bulama Gate; Masada Village, Bulama's Gate"
Geidam,Futchimiram,"Bundiram, Bulama Gate; Futchimiram, Lawan's Gate; Futchimiram, Pri. Sch.; Garimari, Bulama's Gate; Goni Modu Goni, Bulama's Gate; Jilli, Bulama's Gate; Kasacciya, Bulama Gate; Ngilewa, Bulama's Gate; Ngulmi Kawuyindi B/Gate; Ngulmi Mammanti, Bulama's Gate"
Geidam,Gumsa,"Alhajiri, Pri. Sch.; Dunari Bujiri; Gasauri, Bulama's Gate; Gumsa Bakin Kasuwa, Bakin Kasuwa I; Gumsa Bakin Kasuwa, Bakin Kasuwa II; Gumsa Pri School 'I'; Gumsa Pri School II; Gumzuguyi, Bulama's Gate; Madi Kadawa, Bulama's Gate; Talum, Bulama's Gate"
Geidam,Hausari,"Alhaji Malumta, Bulama's Gate I; Alhaji Malumta, Bulama's Gate II; Bukar Sunoma, Bulama's Gate; Dauda Inusa,Maiung. Gate; Goni Dalatu,Bulama's Gate I; Goni Dalatu, Bulama's Gate II; Mai Anuguwa Buba, Mai Ung. Gate; Modu Tela Modu Tela Gate; Modu Tela, / G. S. S Geidam / G. S. S. Geidam; Modu Tela, / Upper Area Court - Upper Area Court; Mohammed Babin / Bulama's Gate; Mohammed Babin/ Kafela Pri. Sch. / Kafela Pri. Sch. I; Mohammed Babin/ Kafela Pri. Sch. / Kafela Pri. Sch. II; S. G. T Adamu, Sgt Adamu's Gate; Tobacco Store, Tobacco Store; Tobacco Store, High Court; Zaramiri, Zaramiri's Gate"
Geidam,Ma'Anna/Dagambi,"Dagambi, Bulama Gate; Dapchi Dambaram, Bulama's Gate; Isori, Bulama Gate; Kayaiya, Bulama's Gate; Kiriwa Dapso, Bulama's Gate; Kuwa Bare, Bulama's Gate; Ma'Anna, Pri. Sch.; Mairi Kuwa, Bulama's Gate; Makintari, Bulama's Gate; Ngayawa, Bulama's Gate"
Geidam,Shame Kura / Dilawa,"Dilawa, Dispensary; Jororo, Lawan's Gate; Kalgiri, Bulama's Gate; Mala Wango, Bulama 's Gate; Malumma Kawuwa, Bulama's Gate; Mawuwa Umarti, Bulama's Gate; Raga. Nguluri, Bulama's Gate; Shame Kura, Bulama's Gate; Wakil Ajibe, Bulama's Gate"
Geidam,Zurgu Ngilewa / Borko,"Awasai, Bulama's Gate; Borko, Pri. Sch.; Chungul, Bulama's Gate; Giza, Bulama's Gate; Kindilla, Bulama's Gate; Kawuri Bulama Gate; Ngilewa, Bulama's Gate; Ranna Sheriff, Bulama's Gate"
Gujba,Bunigari/Lawanti,"Azare/Magza, Ganji Makera; Gashua/Buramsira, Gashua Pri. Sch.; Bulama Yaga, Bunigari Market; Bulturi Yarmari, Lewa Gate; Buni Gari, Buni. Gari Pri. Sch.; Buni Lawanti, Sarkin Tasha I; Buni Lawanti, Sarkin Tasha II; Buni Lawanti, Ajamari"
Gujba,Buniyadi North / South,"Amadu Kapinta Ardo Sale Gate; Amadu Kapinta Yaro Gate; Shuwari Pri School; Bulama Auwami, Goni Haruna I; Bulama Auwami, Goni Harunaii; Bulama Auwami, Iliayasu Usman; Bulama Ngoma, Makinta Ali; Bulama Ngoma, Centralpri. Sch.; Goni Mattari,.Jalon's Gate; Isa Talala, Umaru M. Engine; Jauro Buba, Buba Ali; Jiri/Sumsumma, Bulama Saye's Gate; Muh'D Alewa Dr,Abdu Gate; Muh'D Alewa Islamiya Pri Sch; Mustapha Gamb0, Gabba Mai Rogo Gate; Railway Goni Habu Samaila Muh;D Gate; Railway Muh'D Kofar G/Gagare; Wakil Umar/Jauro Viewing Centre 'I'; Wakil Umar/Jauro Viewing Centre 'II'; Wakil Umar/Jauro Dispensary"
Gujba,Dadingel,"Dadingel Primary School; Marma, Marma Pri. Sch.; Muwura Madu Kime"
Gujba,Goniri,"Goni Jalori, Alh. M. Bura; Goniri, Central Pri. Sch. I; Goniri, Central Pri. Sch. II; Goniri Fulatari Alh Bukar Gate; Goniri Maruri, Alh. Lawan; Goni Maruri, Alh. Umaru Marus; Kimeri, Kimeri; Mallam Liwulamari, Kachala Fugu"
Gujba,Gotala/Gotumba,"Bobiri Boburi Open Space; Dishi Bulama Ali, Bulama Ali; Goni, Ngomari; Gotala Shetima Sidin, Gotala Market; Gotumba, Gotumba Pri. Sch. I; Gotumba, Gotumba Pri. Sch. II; Kwar Mari, Kwar Mari; Kunduli Yari, Kunduli Yari; Kyari Kauri, Kyari Kauri; Shettima Mawari Open Space; Sugumi Jiddari Sogumi; Wuyabchi Sanda Wuyabchi Open Space"
Gujba,Gujba,"Ambiya Tasha, Pri. Sch; Bungai Bulama Ali, Bulama Ali; Garin Itace, Garin Itace; Gujba Central Pri School; Gujba Area Court; Horeriyiwa Jamtari Horeyiwa Road O. S; K. B/Kukuwa Tasha, Kukuwa Pri. Sch I; K. B/Kukuwa Tasha, Kukuwa Pri. Sch II; Kasatchia, Kasatchia; Katarko, Katarko Bulama; Kojellere Open Space; Kojellere Bakin Ngeljul Gate; Kukuwa Wakaltu Ali Gate; Ligdir Tasha; Manjim Kura/Manjigan. Manjim; Ngomma/Ngazar Ngamma Gate; Ngel Biyawal,Ngel Biyawal; Sherifri, Sherifri; Turo, Turo; Wule Wule Open Space"
Gujba,Mallam Dunari,"Ambiya Kura Open Space; Bulturam Kura, Pri. Sch.; Burniwa, Burniwa; Gurma/Kolkola. Gurma; Kadauri, Kadauri Pri. Sch.; Malam Dunari Bakin Koyel Tela Bumis Gate; M. Dunari Ngubutori M. Dunari Pri Sch; Surdi Kumai Open Space"
Gujba,Mutai,"Bandilla Ardo, Ngididoji Yelwa; Bukkel Alh. Bakura, Buba Gate; Daddawayel, Pri. Sch.; Denderia/Labba. Denderia; Garin Gabas, Garin Gabas; Jammre/Kikiwa, Bamme's Gate; Mutai, Mutai Pri. Sch.; Nassarawa, Sarkin Pawa"
Gujba,Ngurbuwa,"Bulama Fantami/Jurkauri Open Space; Bulturam Gana/L. Dala Kezlum Open Space; Kusuluwaram Open Space; Maram Kura M. Gana; Muktum Kura / Gana - Muktum Kura; Ngurabawa Lawanti, Pri. Sch. I; Ngurabawa Lawanti, Pri. Sch. II; Ngurmai Bulama"
Gujba,Wagir,Chiromari M. Kawu Gate; Jamtari/Ngel Kalaji. M. Garba's Gate; Nyakere/Jauro. Liman Adamu; Wagir/Ngel Auwa. Wagir Pri. Sch.
Gulani,Borno Kiji/Tetteba,"Alagarno Muh'D Mai Hulla Gate; Borno Kiji, Adamu Karere Gate; Garin Aboyi, Yelwa Abuna Gate; Garin Ayada Open Space; Marwa Gaja Open Space; Mai Kano Ibrahim Dahiru Gate; Maikano Ibrahim Garin Mai Kano ; Tetteba, Pri. Sch.; Tetteba, Market Place; Tetteba Garin Njilde Open Space; Tetteba Mudi Tela Bukar Gate; T. S/Ym/Musa. Alh. Juju Gate; Yango, Yakubu Gate"
Gulani,Bularafa,"Bularafa Lawanti, Pri. Sch.; Bularafa, Old Market; Bularafa, Alh. Shuaibu Gate; Bularafa, Secondary School; Chilari Bandila, Bandila Gate; Kukuwa, Pri. Sch.; Shishiwaji, Pri. Sch."
Gulani,Bumsa,"Bumsa, Bumsa Market I; Bumsa, Bumsa Market II; Bumsa, Sani's Gate; Bumsa, Audu K. Gate; Dan Kanchi, Dan K. Gate; Gar Gari, Pri. Sch. I; Gar Gari, Pri. Sch. II; Ngurum . M. Sambo, Pri. Sch. I; Ngurum . M. Sambo, Pri. Sch. II; Tela Baidu Bumsa, Tela B. Gate"
Gulani,Dokshi,"Doshi, Pri. Sch. / Dokshi Primary School I; Doshi, Pri. Sch. / Dokshi Primary School II; Dokshi Market; Garin Jauro, Jauro Adamu; Mann M. Yakudi Open Space; Zango Kaljiwa Zango Market; Zango Kaljiwa M, Idi Gate"
Gulani,Gabai,"Bursari Mai Ung. Gate; Chandam Mainari, Pri. Sch. I; Chandam Mainari, Pri. Sch. II; Gabai Mainyiwa, Pri. Sch.; Kojoli Babba Doki, Musa's Gate; Nainala Kolofa Wami Gate; Nguzoa, Manuwa Musa Gate; Sallare, Audu G. Gate"
Gulani,Gagure,"Badigo/Badigoro Pri. Sch.; Dantoro, Dantaro Gate; Fishigo,Fishingo Town; Gagure, Pri. Sch.; Garin Yaya A. Bauchi/Ibrahim Gate; Kotum B. Shuaibu, Sale Boduku Gate; Yelwa Garba Alarama I. Gate"
Gulani,Garin Tuwo,"Garin Tuwo B. Yau, Dan Kaka Gate; Garin Tuwo B Ya'U, M. Haruna Dagore; Garin Tuwo Malaya, Pri. Sch. I; Garin Tuwo Malaya, Pri. Sch. II; Garin Sarikin Noma, M. Moh'D Gate; Janna M. Umaru, M. Umaru Gate; Jauro Adamu, Sarkin Noma Gate"
Gulani,Gulani,"Gulani Lawanti, Viewing Centre I; Gulani Lawanti, Viewing Centre II; Gulani Lawanti, Opposite. Viewing Centre; Gulani Lawanti, Alh. Kolo Gate; Gulani Lawanti, Gulani Lawanti; Gulani Lawanti, Tsangaya"
Gulani,Kushimaga,"Awala Fantami, Alh. Ibrahim Gate; Garin M. Garba, M. Garba Gate; Kushi Maga Musa Garba Gate; Kupto Gana, Kupto Gana Gate; Ngelzarma, Ibrahim Tela Gate"
