LGA,Ward,Polling Unit Name
Bama,Shehuri / Hausari / Mairi,Shehu's Palace I; Shehu's Palace II; Shehu's Palace III; Central Pri. Sch. I; Central Pri. Sch. II; Bololo Bore Hole I; Bololo Bore Hole II; Ngomari Ex. Boarding I; Ngomari Ex. Boarding II; Hausari Pri. Sch.; Ex. Boarding Pri. Sch.; Kaigamari Pri. Sch. I; Kaigamari Pri. Sch. II; Abba Habib; Buluma Modu Gadangar; Lawan Maina Bukar; Bulama Modu Wanzama I; Bulama Modu Wanzama II; Fugu B. Wanzam; Old Bama Pri. Sch.; Abuja Police Barracks; Alhaji Kodomi I; Alhaji Kodomi II; Filin Sukuwa I; Filin Sukuwa II; Government Lodge; Custom I; Custom II; Kaigamari East; Shehuri East; Bulama J. Gate I; Bulama J. Gate II; Lawan Ngare; Lawan Mamman . I; Lawan Mamman . II; District Head I; District Head II; District Head III
Bama,Wulbari/Ndine/Chachile,U. T. A. B Mamman; Wulbari; Bula Mastafabe; Yerwa B. Modu; Borjino; Kessa Kalla; Bogomari; Jabbari; Mallumari; Njimbitte
Bama,Yabiri Kura/Yabiri Gana/Chongolo,Kote Kura I; Kote Kura II; Garji; Dogoro Bulama; Abuja; Bula Bundibe; Mbaga Kura; Daudiri; Tufa; Chongolo; Nimela; Bula Marwaye; Zala Kura
Bama,Zangeri/Kash Kash,Zangeri Pri. Sch.; Lawanti; Ali Chingori I; Ali Chingori II; Saleri; Sabte; Suwa I; Suwa II; Mogo B. Udaya; Fogus Bulama; Dagili; Yere B. Abutoma; Bula Bulin; Daleye B. Mamman
Bayo,Balbaya,Balbaya Dispensary; Panya; Balbaya Pri. Sch.; Kukwal Pry. Sch.; Tondi Yakubu Pri. Sch.; Mainawa
Bayo,Briyel,Briyel Dispensary; Briyel District Office; Briyel South; Girabe Pri. Sch.; Wuro Ladde
Bayo,Fikayel,Fikahyel South; Angwan Hausawa; Sarki Ali Tera; Bayawa; Angwan Haruna; Fikahyel North
Bayo,Gamadadi,Gamadadi Pri. Sch.; Gamadadi Dispensary; Maina Baba; Jauro Garga; Sambo Daba
Bayo,Jara Gol,Jara Gol Pri. Sch.; Tuji; Gwanjara Pry. Sch.; Ndeki Pri. Sch.; Korko Pry. Sch; Lolom
Bayo,Jara Dali,Dali Pri. Sch.; Dali Dispensary; Zange Pri. Sch.; Pela Kombo Pri. Sch.; Guva Yoho Pri. Sch.; Machiya Pry. Sch
Bayo,Limanti,Limanti Pri. Sch.; Tsangayari Pry. Sch; Batsari Pry. Sch; Dawal; Chongom; Kuva
Bayo,Teli,Teli Pri. Sch.; Teli Central; Yard; Garingado Pry. Sch; Bulama Kabbi; Gedaba Pri. Sch
Bayo,Wuyo,Wuyo Pri. Sch. I; Guburnde Pri. Sch.; Laro Pri. Sch.; Chibra Pri. Sch.; Geidam Pri. Sch.; Tashan Tsamiya Pry. Sch; Fanguru; Wuyo Pri. Sch. II
Bayo,Zara,Zara; Dogon Zaga; Nyawi Pri. Sch.; Bambarka; Tenteni
Biu,Buratai,"Buratai Pri. Sch. I; Buratai Dispensary; Bamburatai Gate; Wachambara; Buratai Pri. Sch. II; Kumaya, Bulama Gate; Chara, Bulama Gate; Kurnari, Bulama Gate; Warawara, Bulama Gate; Mangari, Bulama Gate; Sabon Gari, Bulama Gate; Burashika, Bulama Gate; Alagarno, Bulama Gate; Dewa, Bulama Gate"
Biu,Dadin Kowa,"Gunda Pri. Sch.; Gunda, Bulama Gate; Njibi Pri. Sch.; Njibi, Bulama Gate; Galabinda, Bulama Gate I; Galabinda, Bulama Gate II; Madaki, Bulama Gate; Madaki Pri. Sch.; Madaki Maiduguri, Bulama Gate; Maiduguri; Nafada; Bantine; Thlakthla; Berum; Dadinkowa; Gaidam; Duzuwa Pri. Sch.; Panana; Panana Wama; Dam; Wuyaku"
Biu,Dugja,"Dugja Pri. Sch. I; Dugja Pri. Sch. II; Mataga Photos; Bature Mai Unguwa; Alhaji Musa Gaidam Gate; Tabra Pri. Sch.; Tabra, Bulama Gate; Tsahuyam Bulama; Wakama Pri. Sch; Wakama Bulama; Tum Pri. Sch.; Hizhi Gwaram; Dauda Hamza Gate; Mini Haha Pri. Sch.; Dugja Market Road; Biu Magistrate; Biu High Court; Brikuthli Sanda I; Brikuthli Sanda II; Brikuthli Valley; Brikuthli Zara Miringa I; Brikuthli Zara Miringa II; Brikuthli Daurau; Brikuthli Nepa; Brikuthli Centre"
Biu,Garubula,Madlan Pri. Sch.; Sabon Gari Sokotowa; Bumsa; Kore; Charangi; Mapi; Taksaku; Maradi; Garubula Sabon Pri. Sch.; Garubula Dispensary; Wula; Garubula Tsoho; Danaski; Bulakulo; Bumbulum; Zuwa
Biu,Gur,Gur Lawan Pri. Sch.; Lawan Gate; Gur Garubula; Zira Bulama Jakwa; Zira Gudugu; Kimba Central; Kimba Village; Sabon Layi; Chikwarkir; Garin Mallam I; Gur Lawan Bulama; Garin Mallam II
Biu,Kenken,Galdimare Pri. Sch. I; Galdimare Pri. Sch. II; Gamji Pri. Sch.; Ajiya Garga Gate; Sanitation Office; Mallam Gauraki Gate; Yahaya Barber Gate; Kapinta Wandali Gate; M. D Lawan Gate; Nasarawa Bulama Gate; Jugwal Bulama Gate I; Jugal Bulama Gate II; Kampala I; Kampala II; Old Gamji Pri. Sch.; Galdimare Alh. Yamta; Galdimare Bulama Gate I; Galdimare Muazu; Galdimare Bulama Gate II
Biu,Mandara Girau,Mandara Girau Pri. Sch.; Bulama Hussaini; Bulama Musa; Lawan Gate I; Nguma Pri. Sch.; Nguma Bulama; Garkida Tawul; Ngilu I; Liya Pri. Sch.; Liya Bulama; Tarfa; Diwa; Debiro Pri. Sch.; Sura; Ngilu II; Lawan Gate II
Biu,Miringa,Miringa Central Pri. Sch. I; Miringa Central Pri. Sch. II; Alhaji Mallum Gate; District Head Office I; Lawan Gate; Dashu B. Gate; District Head Office II; Dashu Pri. Sch.; Bulama Kuma; G. G. S. S. S Miringa; Yoksa Pri. Sch.; Wakil Mustapha; Wakil M. Sarki Aska; Mai Unguwa M. Waya; Miringa Dispensary; Prison Gate; Jali Fulani; Jali . B Gate; Pompomari Pri. Sch.
Biu,Sulumthla,Agency Office; Post Office; Forestry Office; Bariki Pri. Sch.; Bukar Kwaira Gate; Nadabo Gate; Madu Gaji Gate I; Madu Gaji Gate II; District Head Office; Dispensary; Ali Dugul Gate; Zaifada I; Kachalla Pada Gate I; Moh'D Naida Gate; Shettima Ali Gate; Yamta Birma; Inuwa Ali Damashu; Zaifada II; Kachalla Pada Gate II
Biu,Yawi,Filin Jirgi Pri. Sch.; Filin Jirgi Bulama Gate; Usman Dala Gate; Kigir Gate I; Kigir Gate II; Kabura Pri. Sch.; Yelwa Bariki; Wurang; Yawi Bulama Gate I; Yawi Bulama Gate II; Viukuthla; Kurnar Ngwa; Mbulachiui; Yawi Pri. Sch.
Biu,Zarawuyaku,Bulama Fori; Mbulamel B. Dauda; Maiunguwan Dankual; Bubal Wada Pri. Sch. I; Bubal Wada Pri. Sch. II; G. S. S Waka; Yamar Kumi Pri. Sch.; Yamirkumi B. Gate; Maina Hari Pri. Sch.; Maina Hari Bulama G.; Mandafuma Pri. Sch.; Mandafuma Dispensary; Bambwala Pri. Sch.; G. S. S. Biu; Central Pri. Sch; Kachalla Bukar; Remind Home; Maidugu. Islamiya; Alhaji Modu Fantami; Alhaji Dauda Makaniki; Waziri Gate
Chibok,Chibok Garu,Lawanti; Yobe; C. B. S; Kwigu; Yaga Butu; Ngwamba; Shiki
Chibok,Chibok Likama,Piying; Musa Birma; Bila Lawan Ali; Bila Nyadar
Chibok,Chibok Wuntaku,Bila Audu I; Bila Audu II; Bila Hikima; Mboa B. Hyelampa; Kople; Kwada B. Grema; Bwala Gyang; Kople B. Muta; Hirpaya B. Muta; Njilang; Bamzir
Chibok,Gatamarwa,Bila Karaga; Bila Mohammed I; Bila Mohammed II; B. Wadir; B. Dawa; B. Dzakwa; B. Pogu; B. Gajeri; B. Amdudar; B. Abana I; B. Abana II; B. Kachalla
Chibok,Kautikari,B. Ndabaram; B. Wadir; B. Mallam; B. Jatau Yahi I; B. Jatau Yahi II; B. Watsai; B. Yibram; Kwada; Nguro Dina; Birnin Ngizu I; Birnin Ngizu II; Bula
Chibok,Korongilim,Bambula; Korongilim Zarma; K. Kwibula; Kwada Yang; Yarchida; Bula Shettima; Bula Kagu III&IV; Korongilim
Chibok,Kuburmbula,Kuburmbula M. Bularam I; Kuburmbula M. Bularam II; Kaumuta Yahi; Kagilmari; Kagilmari / Kwada; Mifa I; Mifa II; Bwarakila; Kuburmbula Bwaftari I; Kuburmbula Bwaftari B. Baffa
Chibok,Mbalala,Jajel; Mbalala B. Tambiya; Ngadarma; Ngorkoli; Kauthlama I; Kauthlama II; Korochuma; Mbalala I; Mbalala II; Bila Tambiya; Danga I & II
Chibok,Mboa Kura,Mboa Kura; M. Tabang; M. Kuchani; B. Gapani; M. Munza; M. B Mai; Gangrang
Chibok,Shikarkir,Bila Yaga; B. Gaji; Tsatha; Kwihuma; Takulashi; Dabiya
Chibok,Pemi,Pemi Bila Ali I; Pemi Bila Ali II; Pemi B. Talawur; Pemi B. Kyari; Pemi B. Ngiladar; Pemi B. Lawan; Pemi B. Yukura
Damboa,Ajign,Ajigin Mairi I; Ajigin Mairi II; Auma; Hong; Shettima Abogu; Ndoksa; Chirelia; Ajigin Bulamari; Galmasku; Bulbul
Damboa,Ajign,Talala B. Kolomi; Malumti; Gorgore; Talala Pri. Sch.; Gorgori Pri. Sch.; Goramcha
Damboa,Azur/Multe/Forfor,Kauji Pri. Sch. A; Kauji Pri. Sch. B; Azur Lawanti; Multe Lawanti; Sabon Gari; Wajiroko; Forfor; Mulgula; Sokotoko; Koboa; Mungule
Damboa,Bego/Yerwa/Ngurna,Mufurundi; Bego; Koljiri; Njaba; Yarwa; Gazama; Ngirna Lawanti; Mude; Kangarwa
Damboa,Damboa,Damboa Lawanti; State Low Cost; Fertilizer Store I; Fertilizer Store II; Ajari / Alkaliri I; Ajari / Alkaliri II; Magistrate Court; Bulama Burarti I; Bulama Burarti II; Shuwari I; Shuwari II
Damboa,Gumsuri/Misakurbudu,Gumsuri I; Gumsuri II; Garjan; Wovi; Kurbutu/Misa; Komdi; Kaya I; Kaya II; Litawa; Balakar
Damboa,Kafa / Mafi,Kafa Lawanti; Mangusum; Jemari; Kauwaram; Golgi; Buk; Mafi Lawanti; Kafa Kugula; Bulama A. Kaulama
Damboa,Mulgwai / Kopchi,Shamagai Malari; Bulajilan; Ngwalimiri; Ndagu; Kwamgilari; Izzige; Kilakesa; Mulgwai Lawanti; Ba'Ale; Yazza; Shawa; Malamri
Damboa,Nguda / Wuyaram,Hausari Pri. Sch.; Nzuda Malaharam; Nzuda Mairi; Sabon Gari Kauji; Anakwari; Matangale; Buwori Alimiri; Malaharam B. Bukar; Muyamram Kasuwa; Kachalla Burari
Damboa,Wawa / Korede,Karede Lawanti; Adika; Kinzagiraji; Wawa Lawanti; Abuluti/Luwa; Bulajimbam; Gorgube; Dusula; Koljiri Korede; Kasuarawa; Tusuwa; Abulam Pri. Sch.
Dikwa,Boboshe,Boboshe I; Boboshe II; Tabudge; Sigabaja I; Sigabaja II; Dubula; Bulanguwa Maibe; Kobtara; Mijigite; Kodawu; Garno
Dikwa,Dikwa,Dikwa Central Pri. Sch.; Rabiri; Chingo Zarmabe; Kanumburi Jaja'A Bo; Community View Centre; Nguro Kuluwu Kacheji I; Nguro Kuluwu Kachei II; Shehu Sanda Pri. Sch. I; Shehu Sanda Pri. Sch. II; Shiwari; Bulabulin Pri. Sch.; Kasugula; Moulanda; Cross Dandal; Ajari West; Kilagaru Pri. Sch.
Dikwa,Gajibo,Gajibo View Centre; Gajibo Pri. Sch.; Gamaye; Ma'A; Ngabure I; Ngabure II; Lera; Gajbo Dispensary; Moula Dandal
Dikwa,Ufaye / Gujile,Ufaye Pri. Sch.; Chigide; Bulun Guwa Fadabe; Koibe Kura; Gole Ye; Kashimiri; Ardori; Bone Cross Dandal
Dikwa,Muliye / Jemuri,Muliye Dandal; Muliye Pri. Sch.; Masa Dandal I; Masa Dandal II; Ngubdori; Adushe; Durbe
Dikwa,Mudu / Kaza,Mudu Kaza Pri. Sch.; Mudu Lawanti; Isari Pri. Sch.; Muzuguli Pri. Sch. I; Sulala Pri. Sch.; Kaza Pri. Sch.; Mutugu Pri. Sch.; Dumure Dandal; Muzuguli Pri. Sch. II
Dikwa,Mallam Maja,Mallam Maja Pri. Sch.; Mukdala Pri. Sch. I; Mukdala Pri. Sch. II; Mukdala Pri. Sch. III; Chingowa Pri. Sch.; Mureye Pri. Sch.; Gimeye / Tamposhe; Malla Maja Dandal
Dikwa,Ngudoram,Ngudoram Pri. Sch.; Maima Pri. Sch.; Antul Pri. Sch.; Ajiri Dandal; Antul Pry. Sch.; Ajiri Pri. Sch.; Ngudoram Dandal
Dikwa,Magarta / Sheffri,Magarta Pri. Sch.; Jingori; Gimeye; Dalori Kura; Jejeme; Gosoma
Dikwa,Sogoma / Afuye,Afuye Pri. Sch.; Kudiye Pri. Sch.; Sogoma Pri. Sch. I; Sogoma Pri. Sch. II; Jiye Pri. Sch.; Isari Dandal; Fala - Fala; Cha'A Bulabulin
Gubio,Ardimini,Bam Kuruwu; Kolo Kusumiri; Lawanti I; Lawanti II
Gubio,Dabira,Fanta Mallumti; Juwula; Lawan Aliri; Lawanti I; Lawanti II; Moruri
Gubio,Felo,Gudum; Gundi I; Gundi II; Lawanti; Shattaram I; Shattaram II; Yana Zannari
Gubio,Gamowo,Bamma Gana I; Bamma Gana II; Bamma Gana III; Lawanti I; Lawanti II; Burari
Gubio,Gazabure,Abachari; Abba Sherifti I; Abba Sherifti II; Dusuwa I; Dusuwa II; Gallo; Kindaumari I; Kindaumari II; Kidaumari II; Lawanti I; Lawanti II; Tuja Gallo; Yaumari I; Yaumari II
Gubio,Gubio Town I,Ajari I; Ajari II; Alkaliri I; Alkaliri II; Budum I; Budum II; Bussamiri I; Bussamiri II; Bussamiri III; Gagawa I; Gagawa II; Gamosuno; Gadairam; Market Area I; Market Area II; Market Area III; Market Area IV; Market Area V; Kwayamti; Mallam Kachallari
Gubio,Gubio Town II,Bazam Pompomma I; Bazam Pompomma II; Dispensary I; Dispensary II; Dispensary III; Dispensary IV; Gallamu; Jattori; Kuluimari; Motor Park I; Motor Park II; Motor Park III; Ngortowa
Gubio,Kingowa,Dunga I; Dunga II; Jilwari; Kachallari; Kingowa Pri. Sch. I; Kingowa Pri. Sch. II; Kuwa Shettimari; Maiduri
Gubio,Ngetra,Aisaram I; Aisaram II; Awanari I; Awanari II; Diffan; Gandasko I; Gandasko II; Goni Kadirti I; Goni Kadirti II; Goni Kadirti III; Kayowa I; Kayowa II; Lawanti I; Lawanti II; Mallam Sulumti I; Mallam Sulumti II; Musari I; Musari II; Ngetra Lawanti
Gubio,Zowo,Bam Ngudorom I; Bam Ngudorom II; Gadurari; Goni Aliri; Karan Ganamari; Koleri; Lawanti; Masho Ganamari I; Masho Ganamari II; Zanna Durumari; Zowo Lawanti
Guzamala,Aduwa,Aduwa Lawanti I; Aduwa Lawanti II; Moworam; Hassanti
Guzamala,Gudumbali East,Central Pri. Sch.; Dispensary I; Dispensary II; Gudurmari I; Gudurmari II; Ajari I; Ajari II; Dunari; Shila'A; Aisa Ka'A; Kattana; Kadiya
Guzamala,Gudumbali West,Aliyari; Bosamma Fomfom; Garanda; Jabure; Karna Dungulti; Karna Gabchari; Kosorok
Guzamala,Guworam,Aji Dalari; Bossamma; Kiji Matari; Guworam; Lingir
Guzamala,Guzamala East,Goni Adamti; Goni Mustafari; Goni Suguri; Ibrahimti; Kafi Sungul; Ngollam; Yaganari
