M-V pin#,Name,State,Year,Boat,Event
806,Kieran Kobelke,NSW,2014.0,M4x,2014 World Rowing Championships
807,Christopher Cunningham-Reid,NSW,2014.0,M2+,2014 World Rowing Championships
808,Joshua Hicks,WA,2014.0,M8+,2014 World Rowing Championships
809,Laura Dunn,NSW,2014.0,WL4x,2014 World Rowing Championships
810,Sarah Pound,NSW,2014.0,WL4x,2014 World Rowing Championships
811,Jeremy McGrath,,2014.0,MixLTA2x,2014 World Rowing Championships
812,Kathleen Murdoch,,2014.0,MixLTA2x,2014 World Rowing Championships
813,Not allocated,,,,
814,Thomas Perry,ACT,2015.0,LM4x,2015 World Rowing Championships
815,Jonothan Hookway,TAS,2015.0,LM4x,2015 World Rowing Championships
816,Genevieve Horton,NSW,2015.0,W2-,2015 World Rowing Championships
817,Jack Hargeaves,NSW,2015.0,M2-,2015 World Rowing Championships
818,Nicholas Wheatley,NSW,2015.0,M2-,2015 World Rowing Championships
819,Sara Waitzer,TAS,2015.0,LTAMix4+,2015 World Rowing Championships
820,David Watts,WA,2015.0,M4x,2015 World Rowing Championships
821,Alistair Chong,TAS,2015.0,LTAMix4+,2015 World Rowing Championships
822,Josephine Burnand,NSW,2015.0,LTAMix4+,2015 World Rowing Championships
823,Georgie Howe,VIC,2015.0,W8+,2015 World Rowing Championships
824,Rosemary Popa,VIC,2015.0,W8+,2015 World Rowing Championships
825,Meaghan Volker,TAS,2015.0,W8+,2015 World Rowing Championships
826,Sarah Banting,VIC,2015.0,W8+,2015 World Rowing Championships
827,Samuel Hookway,TAS,2015.0,M8+,2015 World Rowing Championships
828,Brock Ingram,WA,2016.0,LTAMix4+,2016 Rio Olympics
829,Davinia Lefroy,WA,2016.0,LTAMix4+,2016 Rio Olympics
830,Fiona Albert,QLD,2016.0,W8+,2016 Rio Olympics
831,Jessica Morrison,VIC,2016.0,W8+,2016 Rio Olympics
832,Leah Saunders,NSW,2017.0,W4x,2017 World Rowing Championships
833,Rowena Meredith,NSW,2017.0,W4x,2017 World Rowing Championships
834,Caitlin Cronin,QLD,2017.0,W4x,2017 World Rowing Championships
835,Katrina Werry,VIC,2017.0,W4-,2017 World Rowing Championships
836,Sarah Hawe,TAS,2017.0,W4-,2017 World Rowing Championships
837,Amy James,QLD,2017.0,LW4x,2017 World Rowing Championships
838,Alice Arch,VIC,2017.0,LW4x,2017 World Rowing Championships
839,Luke Letcher,ACT,2017.0,M2x,2017 World Rowing Championships
840,Cameron Fowler,WA,2017.0,LM4x,2017 World Rowing Championships
841,Redmond Matthews,VIC,2017.0,LM4x,2017 World Rowing Championships
